"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","2019",11.2,
"AUT","SMOKERS","TOT","PC_POP15","A","2019",20.6,
"BEL","SMOKERS","TOT","PC_POP15","A","2018",15.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CAN","SMOKERS","TOT","PC_POP15","A","2018",11.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2019",10.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2020",9.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2017",18.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2018",21.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2019",18.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2020",16.6,
"DNK","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"DNK","SMOKERS","TOT","PC_POP15","A","2021",13.9,
"FIN","SMOKERS","TOT","PC_POP15","A","2017",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2018",14,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2019",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2020",12,"D"
"FRA","SMOKERS","TOT","PC_POP15","A","2017",26.9,
"FRA","SMOKERS","TOT","PC_POP15","A","2018",25.4,
"FRA","SMOKERS","TOT","PC_POP15","A","2019",24,
"FRA","SMOKERS","TOT","PC_POP15","A","2020",25.5,
"DEU","SMOKERS","TOT","PC_POP15","A","2017",18.8,
"GRC","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"HUN","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"ISL","SMOKERS","TOT","PC_POP15","A","2017",9.4,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2018",8.6,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2019",8.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2020",7.3,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2021",7.2,"D"
"IRL","SMOKERS","TOT","PC_POP15","A","2017",18,
"IRL","SMOKERS","TOT","PC_POP15","A","2018",17,
"IRL","SMOKERS","TOT","PC_POP15","A","2019",14,
"IRL","SMOKERS","TOT","PC_POP15","A","2021",16,
"ITA","SMOKERS","TOT","PC_POP15","A","2017",19.9,
"ITA","SMOKERS","TOT","PC_POP15","A","2018",19.2,
"ITA","SMOKERS","TOT","PC_POP15","A","2019",18.6,
"ITA","SMOKERS","TOT","PC_POP15","A","2020",18.8,
"JPN","SMOKERS","TOT","PC_POP15","A","2017",17.7,
"JPN","SMOKERS","TOT","PC_POP15","A","2018",17.8,
"JPN","SMOKERS","TOT","PC_POP15","A","2019",16.7,
"KOR","SMOKERS","TOT","PC_POP15","A","2017",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2018",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2019",16.4,
"KOR","SMOKERS","TOT","PC_POP15","A","2020",15.9,
"LUX","SMOKERS","TOT","PC_POP15","A","2017",16,
"LUX","SMOKERS","TOT","PC_POP15","A","2018",14.5,
"LUX","SMOKERS","TOT","PC_POP15","A","2019",16.8,
"LUX","SMOKERS","TOT","PC_POP15","A","2020",16.9,
"LUX","SMOKERS","TOT","PC_POP15","A","2021",19.2,
"MEX","SMOKERS","TOT","PC_POP15","A","2018",7.7,
"MEX","SMOKERS","TOT","PC_POP15","A","2020",7.4,
"NLD","SMOKERS","TOT","PC_POP15","A","2017",16.8,
"NLD","SMOKERS","TOT","PC_POP15","A","2018",15.5,
"NLD","SMOKERS","TOT","PC_POP15","A","2019",15.4,
"NLD","SMOKERS","TOT","PC_POP15","A","2020",14.4,
"NZL","SMOKERS","TOT","PC_POP15","A","2017",14.1,
"NZL","SMOKERS","TOT","PC_POP15","A","2018",13.3,
"NZL","SMOKERS","TOT","PC_POP15","A","2019",12.9,
"NZL","SMOKERS","TOT","PC_POP15","A","2020",11.9,
"NZL","SMOKERS","TOT","PC_POP15","A","2021",9.4,
"NOR","SMOKERS","TOT","PC_POP15","A","2017",11,
"NOR","SMOKERS","TOT","PC_POP15","A","2018",12,
"NOR","SMOKERS","TOT","PC_POP15","A","2019",9,
"NOR","SMOKERS","TOT","PC_POP15","A","2020",9,
"NOR","SMOKERS","TOT","PC_POP15","A","2021",8,
"POL","SMOKERS","TOT","PC_POP15","A","2019",17.1,
"PRT","SMOKERS","TOT","PC_POP15","A","2019",14.2,
"SVK","SMOKERS","TOT","PC_POP15","A","2019",21,
"ESP","SMOKERS","TOT","PC_POP15","A","2017",22.1,
"ESP","SMOKERS","TOT","PC_POP15","A","2020",19.8,
"SWE","SMOKERS","TOT","PC_POP15","A","2017",10.4,
"SWE","SMOKERS","TOT","PC_POP15","A","2018",10.1,
"SWE","SMOKERS","TOT","PC_POP15","A","2019",10.4,
"SWE","SMOKERS","TOT","PC_POP15","A","2020",9.5,
"CHE","SMOKERS","TOT","PC_POP15","A","2017",19.1,
"TUR","SMOKERS","TOT","PC_POP15","A","2019",28,
"GBR","SMOKERS","TOT","PC_POP15","A","2017",16.8,
"GBR","SMOKERS","TOT","PC_POP15","A","2018",16.6,
"GBR","SMOKERS","TOT","PC_POP15","A","2019",15.8,
"GBR","SMOKERS","TOT","PC_POP15","A","2020",14.5,
